name,url,tier,type,region,region_group,notes,verified,resale_market,has_raffles,raffle_url_pattern,api_endpoint,contact_email,phone,country_code,address,timezone,last_checked,source
Nike SNKRS (US),https://www.nike.com/launch,9,brand_official,US,US,Nike official SNKRS launches & raffles,True,False,True,https://www.nike.com/launch/*,https://api.nike.com/launch,help@nike.com,,US,"One Bowerman Dr, Beaverton, OR",America/Los_Angeles,,brand_site
Adidas Confirmed (US),https://www.adidas.com/us/confirmed,9,brand_official,US,US,Adidas Confirmed app & website releases,True,False,True,https://www.adidas.com/us/confirmed/*,https://api.adidas.com/confirmed,us-support@adidas.com,,US,"5055 N Greeley Ave, Portland, OR",America/Los_Angeles,,brand_site
Jordan Brand (US),https://www.nike.com/jordan,8,brand_official,US,US,Jordan Brand official releases,True,False,True,https://www.nike.com/jordan/*,https://api.nike.com/jordan,help@nike.com,,US,"One Bowerman Dr, Beaverton, OR",America/Los_Angeles,,brand_site
New Balance (US),https://www.newbalance.com,8,brand_official,US,US,New Balance official releases,True,False,True,https://www.newbalance.com/*,https://api.newbalance.com,help@newbalance.com,,US,"20 Guest St, Boston, MA",America/New_York,,brand_site
Foot Locker (US),https://www.footlocker.com,7,chain,US,US,Major retail chain,True,False,True,https://www.footlocker.com/raffles,https://api.footlocker.com,help@footlocker.com,+1-800-991-6815,US,"330 West 34th Street, New York, NY",America/New_York,,public
JD Sports (US),https://www.jdsports.com/us,7,chain,US,US,JD Sports US site,True,False,False,,,customerservice@jdsports.com,,US,"New York, NY (head office US operations)",America/New_York,,public
Finish Line,https://www.finishline.com,6,chain,US,US,Mall-based chain,True,False,False,https://www.finishline.com/raffles,https://api.finishline.com,help@finishline.com,+1-877-344-7538,US,"Indianapolis, IN",America/Indiana/Indianapolis,,public
Champs Sports,https://www.champssports.com,6,chain,US,US,Mall retailer - some exclusives,True,False,True,https://www.champssports.com/raffles,https://api.champssports.com,help@champssports.com,+1-800-645-3227,US,"Bradenton, FL",America/New_York,,public
KITH,https://kith.com,10,boutique,US,US,Flagship drops & collabs,True,False,True,https://kith.com/pages/raffle,https://kith.com/api,info@kith.com,+1-212-219-2873,US,"337 Lafayette St, New York, NY",America/New_York,,boutique
Concepts,https://cncpts.com,9,boutique,US,US,"Boston boutique, exclusive collabs",True,False,True,https://cncpts.com/raffle,https://cncpts.com/api,info@cncpts.com,,US,"433 Washington St, Boston, MA",America/New_York,,boutique
Undefeated,https://undefeated.com,9,boutique,US,US,Exclusive sneaker drops & collabs,True,False,True,https://undefeated.com/raffle,https://undefeated.com/api,info@undefeated.com,,US,"1331 W Sunset Blvd, Los Angeles, CA",America/Los_Angeles,,boutique
Extra Butter,https://extrabutterny.com,8,boutique,US,US,"NYC boutique, collabs & limited releases",True,False,True,https://extrabutterny.com/raffle,https://extrabutterny.com/api,info@extrabutterny.com,,US,"125 Orchard St, New York, NY",America/New_York,,boutique
A Ma Maniere,https://www.amanmaniere.com,9,boutique,US,US,"Luxury sneaker boutique, collabs",True,False,True,https://www.amanmaniere.com/raffle,https://www.amanmaniere.com/api,info@amanmaniere.com,,US,"Atlanta, GA",America/New_York,,boutique
Flight Club,https://www.flightclub.com,7,resale,US,US,Consignment & resale marketplace,True,True,False,https://www.flightclub.com/raffles,https://api.flightclub.com,help@flightclub.com,,US,"New York, NY",America/New_York,,resale
StockX,https://stockx.com,6,resale,Global,US,Resale marketplace,True,True,False,https://stockx.com/*,https://stockx.com/api,help@stockx.com,,US,"Detroit, MI (HQ)",America/Detroit,,resale
GOAT,https://www.goat.com,6,resale,Global,US,Resale marketplace,True,True,False,https://www.goat.com/raffles,https://api.goat.com,help@goat.com,,US,"Los Angeles, CA",America/Los_Angeles,,resale
Stadium Goods,https://www.stadiumgoods.com,7,resale,US,US,Consignment sneaker marketplace,True,True,False,https://www.stadiumgoods.com/raffle,https://www.stadiumgoods.com/api,hello@stadiumgoods.com,,US,"New York, NY",America/New_York,,resale
Sneaker Politics,https://sneakerpolitics.com,8,boutique,US,US,Southern US boutique,True,False,True,https://sneakerpolitics.com/raffle,https://sneakerpolitics.com/api,info@sneakerpolitics.com,,US,"New Orleans, LA",America/Chicago,,boutique
BAIT,https://www.baitme.com,8,boutique,US,US,Boutique sneaker & streetwear store,True,False,True,https://www.baitme.com/raffle,https://www.baitme.com/api,info@baitme.com,,US,"Los Angeles, CA",America/Los_Angeles,,boutique
Packer Shoes,https://packershoes.com,7,boutique,US,US,Limited sneaker releases,True,False,True,https://packershoes.com/raffle,https://packershoes.com/api,info@packershoes.com,,US,"Teaneck, NJ",America/New_York,,boutique
Allike,https://allike.store,6,boutique,US,US,West Coast sneaker boutique,True,False,True,https://allike.store/raffle,https://allike.store/api,info@allike.store,,US,"Los Angeles, CA",America/Los_Angeles,,boutique
Zumiez,https://www.zumiez.com,5,skate_chain,US,US,National skate retailer,True,False,False,https://www.zumiez.com/raffles,https://www.zumiez.com/api,help@zumiez.com,,US,"Rancho Santa Margarita, CA",America/Los_Angeles,,skate
CCS,https://shop.ccs.com,6,skate,US,US,Skateboarding store and apparel,True,False,True,https://shop.ccs.com/raffles,https://api.ccs.com,help@ccs.com,,US,"Chatsworth, CA",America/Los_Angeles,,skate
Skate Warehouse,https://www.skatewarehouse.com,5,skate_online,US,US,Large skate online retailer,True,False,False,,,help@skatewarehouse.com,,US,"Riverside, CA",America/Los_Angeles,,skate
Tactics,https://www.tactics.com,5,skate_online,US,US,Skate retailer,True,False,False,,,help@tactics.com,,US,"Carlsbad, CA",America/Los_Angeles,,skate
