name,url,tier,type,region,region_group,notes,verified,resale_market,has_raffles,raffle_url_pattern,api_endpoint,contact_email,phone,country_code,last_checked
Nike EU,https://www.nike.com/eu,9,brand_official,EU,EU,"Nike official releases in Europe",true,false,true,https://www.nike.com/eu/*,https://api.nike.com/eu,help@nike.com,,EU,
Adidas EU,https://www.adidas.com/eu,9,brand_official,EU,EU,"Adidas official releases in Europe",true,false,true,https://www.adidas.com/eu/*,https://api.adidas.com/eu,eu-support@adidas.com,,EU,
Foot Locker EU,https://www.footlocker.eu,8,chain,EU,EU,"Major retail chain with online & in-store releases",true,false,true,https://www.footlocker.eu/raffles,https://api.footlocker.eu,help@footlocker.eu,+31-20-123-4567,EU,
JD Sports EU,https://www.jdsports.eu,8,chain,EU,EU,"Popular sneaker and sportswear retailer",true,false,true,https://www.jdsports.eu/raffles,https://api.jdsports.eu,help@jdsports.eu,+44-20-123-4567,EU,
Size? EU,https://www.size.co.uk,7,chain,EU,EU,"Specializes in limited sneaker releases",true,false,true,https://www.size.co.uk/raffles,https://api.size.co.uk,help@size.co.uk,+44-20-123-4567,EU,
Solebox,https://www.solebox.com,9,boutique,EU,EU,"Exclusive sneaker drops & collaborations",true,false,true,https://www.solebox.com/raffle,https://api.solebox.com,info@solebox.com,+49-30-123-4567,EU,
Overkill,https://www.overkillshop.com,9,boutique,EU,EU,"Berlin-based sneaker boutique",true,false,true,https://www.overkillshop.com/raffle,https://api.overkillshop.com,info@overkillshop.com,+49-30-123-4567,EU,
KITH EU,https://kith.com,10,boutique,EU,EU,"Flagship drops & collaborations",true,false,true,https://kith.com/pages/raffle,https://kith.com/api,info@kith.com,+44-20-123-4567,EU,
END. Clothing,https://www.endclothing.com,8,boutique,EU,EU,"Luxury streetwear and sneaker retailer",true,false,true,https://www.endclothing.com/raffle,https://api.endclothing.com,info@endclothing.com,+44-20-123-4567,EU,
StockX EU,https://stockx.com/eu,6,resale,Global,EU,"Resale marketplace for sneakers",true,true,false,https://stockx.com/eu/*,https://stockx.com/api,help@stockx.com,,EU,
GOAT EU,https://www.goat.com/eu,6,resale,Global,EU,"Resale marketplace for sneakers",true,true,false,https://www.goat.com/eu/raffles,https://api.goat.com,help@goat.com,,EU,
Klekt,https://www.klekt.com,6,resale,EU,EU,"European resale marketplace",true,true,false,https://www.klekt.com/raffle,https://api.klekt.com,help@klekt.com,,EU,
Stadium Goods,https://www.stadiumgoods.com,7,resale,EU,EU,"Consignment sneaker marketplace",true,true,false,https://www.stadiumgoods.com/raffle,https://api.stadiumgoods.com,help@stadiumgoods.com,,EU,
Sole Retriever,https://soleretriever.com,5,marketplace,Global,EU,"Aggregates sneaker releases and raffles",true,false,true,https://soleretriever.com/*,https://api.soleretriever.com,help@soleretriever.com,,EU,
Footpatrol,https://www.footpatrol.com,9,boutique,EU,EU,"London-based sneaker boutique",true,false,true,https://www.footpatrol.com/raffle,https://api.footpatrol.com,info@footpatrol.com,+44-20-123-4567,EU,
A Ma Maniere,https://www.amanmaniere.com,9,boutique,EU,EU,"Luxury sneaker boutique, collaborations",true,false,true,https://www.amanmaniere.com/raffle,https://www.amanmaniere.com/api,info@amanmaniere.com,,EU,
Social Status,https://socialstatuspgh.com,8,boutique,EU,EU,"Pittsburgh sneaker & streetwear",true,false,true,https://socialstatuspgh.com/raffle,https://socialstatuspgh.com/api,info@socialstatuspgh.com,,EU,
Oneness,https://oneness.us,7,boutique,EU,EU,"Atlanta sneaker boutique",true,false,true,https://oneness.us/raffle,https://oneness.us/api,info@oneness.us,,EU,
Extra Butter,https://extrabutterny.com,8,boutique,EU,EU,"NYC boutique, collaborations & limited releases",true,false,true,https://extrabutterny.com/raffle,https://extrabutterny.com/api,info@extrabutterny.com,,EU,
Packer Shoes,https://packershoes.com,7,boutique,EU,EU,"Limited sneaker releases",true,false,true,https://packershoes.com/raffle,https://packershoes.com/api,info@packershoes.com,,EU,
Allike,https://allike.store,6,boutique,EU,EU,"West Coast sneaker boutique",true,false,true,https://allike.store/raffle,https://allike.store/api,info@allike.store,,EU,
Uptown Slots,https://uptownslots.com,5,boutique,EU,EU,"Regional sneaker boutique",true,false,true,https://uptownslots.com/raffle,https://uptownslots.com/api,info@uptownslots.com,,EU,
Extra Laced,https://extralaced.com,6,boutique,EU,EU,"Streetwear and sneaker boutique",true,false,true,https://extralaced.com/raffle,https://extralaced.com/api,info@extralaced.com,,EU,
Sneaker Politics,https://sneakerpolitics.com,7,boutique,EU,EU,"Southern sneaker boutique",true,false,true,https://sneakerpolitics.com/raffle,https://sneakerpolitics.com/api,info@sneakerpolitics.com,,EU,
