name,url,tier,type,region,region_group,notes,verified,resale_market,has_raffles,raffle_url_pattern,api_endpoint,contact_email,phone,country_code,last_checked
Nike SNKRS (US),https://www.nike.com/launch,9,brand_official,US,US,"Nike official SNKRS launches & raffles",true,false,true,https://www.nike.com/launch/*,https://api.nike.com/launch,help@nike.com,,US,
Adidas Confirmed (US),https://www.adidas.com/us/confirmed,9,brand_official,US,US,"Adidas Confirmed app & website releases",true,false,true,https://www.adidas.com/us/confirmed/*,https://api.adidas.com/confirmed,us-support@adidas.com,,US,
Jordan Brand (US),https://www.nike.com/jordan,8,brand_official,US,US,"Jordan Brand official releases",true,false,true,https://www.nike.com/jordan/*,https://api.nike.com/jordan,help@nike.com,,US,
New Balance (US),https://www.newbalance.com,7,brand_official,US,US,"New Balance official releases",true,false,true,https://www.newbalance.com/*,https://api.newbalance.com,help@newbalance.com,,US,
Foot Locker (US),https://www.footlocker.com,7,chain,US,US,"Major retail chain with both online & in-store releases",true,false,true,https://www.footlocker.com/raffles,https://api.footlocker.com,help@footlocker.com,+1-800-991-6815,US,
Champs Sports,https://www.champssports.com,6,chain,US,US,"Footwear and apparel chain",true,false,true,https://www.champssports.com/raffles,https://api.champssports.com,help@champssports.com,+1-800-645-3227,US,
Finish Line,https://www.finishline.com,6,chain,US,US,"Major sneaker chain",true,false,true,https://www.finishline.com/raffles,https://api.finishline.com,help@finishline.com,+1-877-344-7538,US,
Footaction,https://www.footaction.com,6,chain,US,US,"Footwear chain with online drops",true,false,true,https://www.footaction.com/raffles,https://api.footaction.com,help@footaction.com,+1-888-768-7272,US,
KITH,https://kith.com,10,boutique,US,US,"Flagship drops & collabs",true,false,true,https://kith.com/pages/raffle,https://kith.com/api,info@kith.com,+1-212-219-2873,US,
Concepts,https://cncpts.com,9,boutique,US,US,"Boston boutique, exclusive collabs",true,false,true,https://cncpts.com/raffle,https://cncpts.com/api,info@cncpts.com,,US,
Undefeated,https://undefeated.com,9,boutique,US,US,"Exclusive sneaker drops & collabs",true,false,true,https://undefeated.com/raffle,https://undefeated.com/api,info@undefeated.com,,US,
Supreme Skate,https://www.supremenewyork.com/shop,10,skate,US,US,"Supreme skate releases & drops",true,false,true,https://www.supremenewyork.com/shop,https://api.supremenewyork.com,help@supremenewyork.com,,US,
CCS,https://shop.ccs.com,6,skate,US,US,"Skateboarding store and apparel",true,false,true,https://shop.ccs.com/raffles,https://api.ccs.com,help@ccs.com,,US,
The Hundreds,https://thehundreds.com,7,skate,US,US,"Streetwear and skate-focused brand",true,false,true,https://thehundreds.com/raffle,https://thehundreds.com/api,info@thehundreds.com,,US,
StockX,https://stockx.com,6,resale,Global,US,"Resale marketplace",true,true,false,https://stockx.com/*,https://stockx.com/api,help@stockx.com,,US,
GOAT,https://www.goat.com,6,resale,Global,US,"Resale marketplace",true,true,false,https://www.goat.com/raffles,https://api.goat.com,help@goat.com,,US,
Klekt,https://www.klekt.com,6,resale,EU,US,"European resale marketplace",true,true,false,https://www.klekt.com/raffle,https://api.klekt.com,help@klekt.com,,US,
Flight Club,https://www.flightclub.com,7,resale,US,US,"Consignment & resale marketplace",true,true,false,https://www.flightclub.com/raffles,https://api.flightclub.com,help@flightclub.com,,US,
Stadium Goods,https://www.stadiumgoods.com,7,resale,US,US,"Consignment sneaker marketplace",true,true,false,https://www.stadiumgoods.com/raffle,https://api.stadiumgoods.com,help@stadiumgoods.com,,US,
BAIT,https://www.baitme.com,8,boutique,US,US,"Boutique sneaker & streetwear store",true,false,true,https://www.baitme.com/raffle,https://www.baitme.com/api,info@baitme.com,,US,
Extra Butter,https://extrabutterny.com,8,boutique,US,US,"NYC boutique, collabs & limited releases",true,false,true,https://extrabutterny.com/raffle,https://extrabutterny.com/api,info@extrabutterny.com,,US,
UNKNWN,https://www.unknwn.com,8,boutique,US,US,"Exclusive drops & streetwear",true,false,true,https://www.unknwn.com/raffle,https://www.unknwn.com/api,info@unknwn.com,,US,
Packer Shoes,https://packershoes.com,7,boutique,US,US,"Limited sneaker releases",true,false,true,https://packershoes.com/raffle,https://packershoes.com/api,info@packershoes.com,,US,
Allike,https://allike.store,6,boutique,US,US,"West Coast sneaker boutique",true,false,true,https://allike.store/raffle,https://allike.store/api,info@allike.store,,US,
Uptown Slots,https://uptownslots.com,5,boutique,US,US,"Regional sneaker boutique",true,false,true,https://uptownslots.com/raffle,https://uptownslots.com/api,info@uptownslots.com,,US,
Extra Laced,https://extralaced.com,6,boutique,US,US,"Streetwear and sneaker boutique",true,false,true,https://extralaced.com/raffle,https://extralaced.com/api,info@extralaced.com,,US,
Sneaker Politics,https://sneakerpolitics.com,7,boutique,US,US,"Southern sneaker boutique",true,false,true,https://sneakerpolitics.com/raffle,https://sneakerpolitics.com/api,info@sneakerpolitics.com,,US,
Social Status,https://socialstatuspgh.com,8,boutique,US,US,"Pittsburgh sneaker & streetwear",true,false,true,https://socialstatuspgh.com/raffle,https://socialstatuspgh.com/api,info@socialstatuspgh.com,,US,
Oneness,https://oneness.us,7,boutique,US,US,"Atlanta sneaker boutique",true,false,true,https://oneness.us/raffle,https://oneness.us/api,info@oneness.us,,US,
A Ma Maniere,https://www.amanmaniere.com,9,boutique,US,US,"Luxury sneaker boutique, collabs",true,false,true,https://www.amanmaniere.com/raffle,https://www.amanmaniere.com/api,info@amanmaniere.com,,US,
