name,url,tier,type,region,region_group,notes,verified,resale_market,has_raffles,raffle_url_pattern,api_endpoint,contact_email,phone,country_code,last_checked
Nike EU,https://www.nike.com/eu,9,brand_official,EU,EU,"Nike official EU launches & raffles",true,false,true,https://www.nike.com/eu/*,https://api.nike.com/eu,help@nike.com,,EU,
Adidas EU,https://www.adidas.com/eu,9,brand_official,EU,EU,"Adidas official EU releases",true,false,true,https://www.adidas.com/eu/*,https://api.adidas.com/eu,eu-support@adidas.com,,EU,
Foot Locker EU,https://www.footlocker.eu,8,chain,EU,EU,"Major retail chain with online & in-store releases",true,false,true,https://www.footlocker.eu/raffles,https://api.footlocker.eu,help@footlocker.eu,+31-20-123-4567,EU,
Champs Sports EU,https://www.champssports.eu,7,chain,EU,EU,"Footwear and apparel chain",true,false,true,https://www.champssports.eu/raffles,https://api.champssports.eu,help@champssports.eu,+31-20-765-4321,EU,
JD Sports EU,https://www.jdsports.eu,8,chain,EU,EU,"Popular sneaker and sportswear retailer",true,false,true,https://www.jdsports.eu/raffles,https://api.jdsports.eu,help@jdsports.eu,+44-20-1234-5678,EU,
Solebox,https://www.solebox.com,10,boutique,EU,EU,"Exclusive sneaker drops & collaborations",true,false,true,https://www.solebox.com/raffle,https://api.solebox.com,info@solebox.com,+49-30-12345678,EU,
END.,https://www.endclothing.com,9,boutique,EU,EU,"High-end sneaker and streetwear boutique",true,false,true,https://www.endclothing.com/raffle,https://api.endclothing.com,info@endclothing.com,+44-20-1234-5678,EU,
KITH EU,https://kith.com/eu,10,boutique,EU,EU,"Flagship drops & collaborations",true,false,true,https://kith.com/eu/pages/raffle,https://kith.com/eu/api,info@kith.com,+44-20-1234-5678,EU,
Size?,https://www.size.co.uk,8,chain,EU,EU,"Popular sneaker retailer in the UK",true,false,true,https://www.size.co.uk/raffles,https://api.size.co.uk,help@size.co.uk,+44-20-1234-5678,EU,
StockX EU,https://stockx.com/eu,6,resale,EU,EU,"Resale marketplace",true,true,false,https://stockx.com/eu/*,https://api.stockx.com/eu,help@stockx.com,,EU,
GOAT EU,https://www.goat.com/eu,6,resale,EU,EU,"Resale marketplace",true,true,false,https://www.goat.com/eu/raffles,https://api.goat.com/eu,help@goat.com,,EU,
Klekt EU,https://www.klekt.com/eu,6,resale,EU,EU,"European resale marketplace",true,true,false,https://www.klekt.com/eu/raffle,https://api.klekt.com/eu,help@klekt.com,,EU,
Stadium Goods EU,https://www.stadiumgoods.com/eu,7,resale,EU,EU,"Consignment sneaker marketplace",true,true,false,https://www.stadiumgoods.com/eu/raffle,https://api.stadiumgoods.com/eu,help@stadiumgoods.com,,EU,
Footpatrol,https://www.footpatrol.com,9,boutique,EU,EU,"London-based sneaker boutique",true,false,true,https://www.footpatrol.com/raffle,https://api.footpatrol.com,info@footpatrol.com,+44-20-1234-5678,EU,
A Ma Maniere EU,https://www.amanmaniere.com/eu,9,boutique,EU,EU,"Luxury sneaker boutique, collaborations",true,false,true,https://www.amanmaniere.com/eu/raffle,https://www.amanmaniere.com/eu/api,info@amanmaniere.com,,EU,
SVD,https://www.svd.com,8,boutique,EU,EU,"Sneaker and streetwear boutique",true,false,true,https://www.svd.com/raffle,https://api.svd.com,info@svd.com,+34-91-123-4567,EU,
Bait,https://www.baitme.com/eu,8,boutique,EU,EU,"Boutique sneaker & streetwear store",true,false,true,https://www.baitme.com/eu/raffle,https://www.baitme.com/eu/api,info@baitme.com,,EU,
Extra Butter EU,https://extrabutterny.com/eu,8,boutique,EU,EU,"NYC boutique, collaborations & limited releases",true,false,true,https://extrabutterny.com/eu/raffle,https://extrabutterny.com/eu/api,info@extrabutterny.com,,EU,
Undefeated EU,https://undefeated.com/eu,9,boutique,EU,EU,"Exclusive sneaker drops & collaborations",true,false,true,https://undefeated.com/eu/raffle,https://undefeated.com/eu/api,info@undefeated.com,,EU,
Social Status EU,https://socialstatuspgh.com/eu,8,boutique,EU,EU,"Pittsburgh sneaker & streetwear",true,false,true,https://socialstatuspgh.com/eu/raffle,https://socialstatuspgh.com/eu/api,info@socialstatuspgh.com,,EU,
Oneness EU,https://oneness.us/eu,7,boutique,EU,EU,"Atlanta sneaker boutique",true,false,true,https://oneness.us/eu/raffle,https://oneness.us/eu/api,info@oneness.us,,EU,
