name,url,tier,type,region,region_group,notes,verified,resale_market,has_raffles,raffle_url_pattern,api_endpoint,contact_email,phone,country_code,last_checked
Nike (LATAM),https://www.nike.com/latam,9,brand_official,LATAM,LATAM,"Nike official releases in LATAM",true,false,true,https://www.nike.com/latam/*,https://api.nike.com/latam,help@nike.com,,LATAM,
Adidas (LATAM),https://www.adidas.com/latam,9,brand_official,LATAM,LATAM,"Adidas official releases in LATAM",true,false,true,https://www.adidas.com/latam/*,https://api.adidas.com/latam,help@adidas.com,,LATAM,
Puma (LATAM),https://www.puma.com/latam,8,brand_official,LATAM,LATAM,"Puma official releases in LATAM",true,false,true,https://www.puma.com/latam/*,https://api.puma.com/latam,help@puma.com,,LATAM,
Foot Locker (LATAM),https://www.footlocker.com/latam,7,chain,LATAM,LATAM,"Major retail chain with online & in-store releases",true,false,true,https://www.footlocker.com/latam/raffles,https://api.footlocker.com/latam,help@footlocker.com,+1-800-991-6815,LATAM,
Champs Sports (LATAM),https://www.champssports.com/latam,6,chain,LATAM,LATAM,"Footwear and apparel chain",true,false,true,https://www.champssports.com/latam/raffles,https://api.champssports.com/latam,help@champssports.com,+1-800-645-3227,LATAM,
Finish Line (LATAM),https://www.finishline.com/latam,6,chain,LATAM,LATAM,"Major sneaker chain",true,false,true,https://www.finishline.com/latam/raffles,https://api.finishline.com/latam,help@finishline.com,+1-877-344-7538,LATAM,
KITH (LATAM),https://kith.com/latam,10,boutique,LATAM,LATAM,"Flagship drops & collabs",true,false,true,https://kith.com/latam/pages/raffle,https://kith.com/latam/api,info@kith.com,+1-212-219-2873,LATAM,
Concepts (LATAM),https://cncpts.com/latam,9,boutique,LATAM,LATAM,"Boutique, exclusive collabs",true,false,true,https://cncpts.com/latam/raffle,https://cncpts.com/latam/api,info@cncpts.com,,LATAM,
StockX (LATAM),https://stockx.com/latam,6,resale,Global,LATAM,"Resale marketplace",true,true,false,https://stockx.com/latam/*,https://stockx.com/api,help@stockx.com,,LATAM,
GOAT (LATAM),https://www.goat.com/latam,6,resale,Global,LATAM,"Resale marketplace",true,true,false,https://www.goat.com/latam/raffles,https://api.goat.com/latam,help@goat.com,,LATAM,
Klekt (LATAM),https://www.klekt.com/latam,6,resale,EU,LATAM,"European resale marketplace",true,true,false,https://www.klekt.com/latam/raffle,https://api.klekt.com/latam,help@klekt.com,,LATAM,
Flight Club (LATAM),https://www.flightclub.com/latam,7,resale,LATAM,LATAM,"Consignment & resale marketplace",true,true,false,https://www.flightclub.com/latam/raffles,https://api.flightclub.com/latam,help@flightclub.com,,LATAM,
BAIT (LATAM),https://www.baitme.com/latam,8,boutique,LATAM,LATAM,"Boutique sneaker & streetwear store",true,false,true,https://www.baitme.com/latam/raffle,https://www.baitme.com/latam/api,info@baitme.com,,LATAM,
Extra Butter (LATAM),https://extrabutterny.com/latam,8,boutique,LATAM,LATAM,"Boutique, collabs & limited releases",true,false,true,https://extrabutterny.com/latam/raffle,https://extrabutterny.com/latam/api,info@extrabutterny.com,,LATAM,
Uptown Slots (LATAM),https://uptownslots.com/latam,5,boutique,LATAM,LATAM,"Regional sneaker boutique",true,false,true,https://uptownslots.com/latam/raffle,https://uptownslots.com/latam/api,info@uptownslots.com,,LATAM,
Sneaker Politics (LATAM),https://sneakerpolitics.com/latam,7,boutique,LATAM,LATAM,"Southern sneaker boutique",true,false,true,https://sneakerpolitics.com/latam/raffle,https://sneakerpolitics.com/latam/api,info@sneakerpolitics.com,,LATAM,
Oneness (LATAM),https://oneness.us/latam,7,boutique,LATAM,LATAM,"Atlanta sneaker boutique",true,false,true,https://oneness.us/latam/raffle,https://oneness.us/latam/api,info@oneness.us,,LATAM,
