name,url,tier,type,region,region_group,notes,verified,resale_market,has_raffles,raffle_url_pattern,api_endpoint,contact_email,phone,country_code,last_checked
Nike SNKRS (MENA),https://www.nike.com/launch,9,brand_official,MENA,MENA,"Nike official SNKRS launches & raffles",true,false,true,https://www.nike.com/launch/*,https://api.nike.com/launch,help@nike.com,,MENA,
Adidas Confirmed (MENA),https://www.adidas.com/mena/confirmed,9,brand_official,MENA,MENA,"Adidas Confirmed app & website releases",true,false,true,https://www.adidas.com/mena/confirmed/*,https://api.adidas.com/confirmed,mena-support@adidas.com,,MENA,
Puma (MENA),https://www.puma.com/mena,8,brand_official,MENA,MENA,"Puma official releases",true,false,true,https://www.puma.com/mena/*,https://api.puma.com/mena,help@puma.com,,MENA,
Foot Locker (MENA),https://www.footlocker.com/mena,7,chain,MENA,MENA,"Major retail chain with both online & in-store releases",true,false,true,https://www.footlocker.com/mena/raffles,https://api.footlocker.com,help@footlocker.com,+1-800-991-6815,MENA,
Champs Sports (MENA),https://www.champssports.com/mena,6,chain,MENA,MENA,"Footwear and apparel chain",true,false,true,https://www.champssports.com/mena/raffles,https://api.champssports.com,help@champssports.com,+1-800-645-3227,MENA,
KITH (MENA),https://kith.com/mena,10,boutique,MENA,MENA,"Flagship drops & collabs",true,false,true,https://kith.com/mena/pages/raffle,https://kith.com/api,info@kith.com,+1-212-219-2873,MENA,
Concepts (MENA),https://cncpts.com/mena,9,boutique,MENA,MENA,"Boutique, exclusive collabs",true,false,true,https://cncpts.com/mena/raffle,https://cncpts.com/api,info@cncpts.com,,MENA,
Undefeated (MENA),https://undefeated.com/mena,9,boutique,MENA,MENA,"Exclusive sneaker drops & collabs",true,false,true,https://undefeated.com/mena/raffle,https://undefeated.com/api,info@undefeated.com,,MENA,
StockX (MENA),https://stockx.com/mena,6,resale,Global,MENA,"Resale marketplace",true,true,false,https://stockx.com/mena/*,https://stockx.com/api,help@stockx.com,,MENA,
GOAT (MENA),https://www.goat.com/mena,6,resale,Global,MENA,"Resale marketplace",true,true,false,https://www.goat.com/mena/raffles,https://api.goat.com,help@goat.com,,MENA,
Klekt (MENA),https://www.klekt.com/mena,6,resale,EU,MENA,"European resale marketplace",true,true,false,https://www.klekt.com/mena/raffle,https://api.klekt.com,help@klekt.com,,MENA,
Flight Club (MENA),https://www.flightclub.com/mena,7,resale,MENA,MENA,"Consignment & resale marketplace",true,true,false,https://www.flightclub.com/mena/raffles,https://api.flightclub.com,help@flightclub.com,,MENA,
Stadium Goods (MENA),https://www.stadiumgoods.com/mena,7,resale,MENA,MENA,"Consignment sneaker marketplace",true,true,false,https://www.stadiumgoods.com/mena/raffle,https://api.stadiumgoods.com,help@stadiumgoods.com,,MENA,
BAIT (MENA),https://www.baitme.com/mena,8,boutique,MENA,MENA,"Boutique sneaker & streetwear store",true,false,true,https://www.baitme.com/mena/raffle,https://www.baitme.com/api,info@baitme.com,,MENA,
Extra Butter (MENA),https://extrabutterny.com/mena,8,boutique,MENA,MENA,"Boutique, collabs & limited releases",true,false,true,https://extrabutterny.com/mena/raffle,https://extrabutterny.com/api,info@extrabutterny.com,,MENA,
UNKNWN (MENA),https://www.unknwn.com/mena,8,boutique,MENA,MENA,"Exclusive drops & streetwear",true,false,true,https://www.unknwn.com/mena/raffle,https://www.unknwn.com/api,info@unknwn.com,,MENA,
Sneaker Politics (MENA),https://sneakerpolitics.com/mena,7,boutique,MENA,MENA,"Southern sneaker boutique",true,false,true,https://sneakerpolitics.com/mena/raffle,https://sneakerpolitics.com/api,info@sneakerpolitics.com,,MENA,
Social Status (MENA),https://socialstatuspgh.com/mena,8,boutique,MENA,MENA,"Pittsburgh sneaker & streetwear",true,false,true,https://socialstatuspgh.com/mena/raffle,https://socialstatuspgh.com/api,info@socialstatuspgh.com,,MENA,
Oneness (MENA),https://oneness.us/mena,7,boutique,MENA,MENA,"Atlanta sneaker boutique",true,false,true,https://oneness.us/mena/raffle,https://oneness.us/api,info@oneness.us,,MENA,
A Ma Maniere (MENA),https://www.amanmaniere.com/mena,9,boutique,MENA,MENA,"Luxury sneaker boutique, collabs",true,false,true,https://www.amanmaniere.com/mena/raffle,https://www.amanmaniere.com/api,info@amanmaniere.com,,MENA,
